Number of papers not found in Scopus = 5185

1162    8275092: (100, No references)
3147    7977382: (100, No references)
1566    7513726: (100, No references)
1568    7818482: (100, No references)
4338    7890693: (100, No references)
4100    8697810: (100, No references)
4101    8697811: (100, No references)
1570    7929370: (100, No references)
749    6779204: (100, No references)
750    3191910: (100, No references)
2871    7566652: (100, No references)
452    8276809: (100, No references)
3680    2462251: (100, No references)
2873    1057175: (100, No references)
2226    7615523: (100, No references)
3463    1483698: (100, No references)
2572    3997857: (100, No references)
1168    1482686: (100, No references)
1578    8294032: (100, No references)
3692    8063729: (100, No references)
2787    7719709: (100, No references)
1580    7651387: (100, No references)
2041    1375321: (100, No references)
3884    8476561: (100, No references)
2043    18356162: (404, Not Found)
1584    1898103: (100, No references)
331    8449507: (100, No references)
332    8449506: (100, No references)
3695    9846874: (100, No references)
1176    8183576: (100, No references)
2463    19388021: (100, No references)
1178    8183572: (100, No references)
764    7670466: (100, No references)
4112    1888291: (100, No references)
2465    8206391: (100, No references)
2466    3345760: (100, No references)
765    6100559: (100, No references)
766    3540966: (100, No references)
951    8288563: (100, No references)
2558    2974536: (100, No references)
335    7608176: (100, No references)
770    8399167: (100, No references)
1591    8092987: (100, No references)
2884    1379731: (100, No references)
3703    1528266: (100, No references)
2471    7937919: (100, No references)
774    1731620: (100, No references)
1181    420800: (100, No references)
2887    6313412: (100, No references)
1592    8164657: (100, No references)
2474    8421051: (100, No references)
1936    7655455: (100, No references)
1595    7835719: (100, No references)
2056    8486381: (100, No references)
341    3455766: (100, No references)
3707    6391741: (100, No references)
1937    7655453: (100, No references)
3296    6787589: (100, No references)
2058    1654894: (100, No references)
1187    2708524: (100, No references)
2059    1906403: (100, No references)
4127    2917975: (100, No references)
3711    8486760: (100, No references)
2479    18974585: (100, No references)
344    2569462: (100, No references)
2177    2121371: (100, No references)
780    8006019: (100, No references)
2064    2569668: (100, No references)
348    8119293: (100, No references)
2065    7585095: (100, No references)
3304    2334893: (100, No references)
781    2541251: (100, No references)
2920    8327514: (100, No references)
3305    1325650: (100, No references)
1614    1695199: (100, No references)
3725    6298628: (100, No references)
3727    3013422: (100, No references)
2490    1549570: (100, No references)
1615    7650035: (100, No references)
786    9285100: (100, No references)
1617    7650039: (100, No references)
4054    1904874: (100, No references)
2069    1326540: (100, No references)
1524    7565620: (100, No references)
1194    7719350: (100, No references)
1619    1339456: (100, No references)
3447    8034597: (100, No references)
2071    8485127: (100, No references)
1198    14767568: (100, No references)
1696    2204066: (100, No references)
3640    2987268: (100, No references)
791    7078428: (100, No references)
2231    11078813: (100, No references)
2580    12836255: (100, No references)
357    1993656: (100, No references)
794    2668275: (100, No references)
3317    2452165: (100, No references)
1786    7961975: (100, No references)
2078    8196632: (100, No references)
