Link,PubMed ID
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0035106351&partnerID=40&md5=f093b39a532c4a09a066d62fafd3879e",11231557
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0024212067&partnerID=40&md5=55ef093d20dc11effda3b941ceaeb719",2461560
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0034623005&partnerID=40&md5=6421bcafb55ea2db41d95c49e8a76c22",10964570
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0030936323&partnerID=40&md5=1d118e0b810455132f443b439c9e96b3",9072974
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0015222647&partnerID=40&md5=84f652acada2c216bfd310caf0318d4e",
"http://www.scopus.com/inward/record.url?eid=2-s2.0-4544341015&partnerID=40&md5=38cabe58fec36fb31cdffb44db522a79",
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0034084163&partnerID=40&md5=a483ccd7f83342fad2c95e31e45cfb26",10837071
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0029587224&partnerID=40&md5=77da2e32141544e6574264d62c6cc0c6",8524413
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0028961293&partnerID=40&md5=8253939129ae08c151719c840d459961",7536630
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0026778133&partnerID=40&md5=a8900422d8c18a4e79f77bfceb102459",1643657
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0042121237&partnerID=40&md5=25ad7893a1fa1e5a1c9545b2bf8513c7",
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0030339738&partnerID=40&md5=2ac42f579442e1c6067e188dd646d250",9008363
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0035282334&partnerID=40&md5=8ba657fe787bf1494f744c3ed05f7903",11242034
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0025120211&partnerID=40&md5=d388cd0fcd4f4d49d1c91e1c89a9f49a",1967820
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0021757436&partnerID=40&md5=9b438d989b2901668b89bea44e6470aa",
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0033551899&partnerID=40&md5=3f01e159e3c06e88d8cb9102cc3ea794",10446041
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0042622380&partnerID=40&md5=9e46f948f5ddfb2746e16a8c5ed2ec05",
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0034201441&partnerID=40&md5=9cc7d03d21a7bbd57a97f9993c8f1404",
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0024297354&partnerID=40&md5=9a338ef9277dd22d1e295e5c2c40b923",
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0022507362&partnerID=40&md5=376ea409cca5b40da31f18e14ec6928b",3444411
,
,
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0037205048&partnerID=40&md5=39bc12035874362dabcdd49d916586f3",12040186
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0033591465&partnerID=40&md5=c9055a6b566b9a425dcaf8c6b7491923",10329189
"http://www.scopus.com/inward/record.url?eid=2-s2.0-2142738304&partnerID=40&md5=b705b29780ace60f5cfd4e5d6a035b52",15173120
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0042768158&partnerID=40&md5=d55ad8d0f5650c8982e8c4795f6f838b",12893945
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0028987936&partnerID=40&md5=761a0fd60cb17180f97a7a42d68feb72",7716514
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0030840464&partnerID=40&md5=463d43680c73356ca32238cb8dacdf24",9287210
,
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0027879008&partnerID=40&md5=3156a5e0ee89cc9a2db1885e351ddd35",
,
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0036144048&partnerID=40&md5=0083530bc17390ab47ecbf3f943af568",11782440
,
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0037062951&partnerID=40&md5=24a2a5ccad26f23ee7ccb7231c9b38b5",12110901
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0037069690&partnerID=40&md5=0995fb649580e6be87a305a0f5dd2be9",12478284
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0026356891&partnerID=40&md5=e491dabee90f6d45d88825c97723cf67",2031185
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0026621245&partnerID=40&md5=0c02b67e643664b72bd4533471d8da4e",1282354
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0035905766&partnerID=40&md5=083cdcff191ae1bc366992a89ee7e470",11201747
"http://www.scopus.com/inward/record.url?eid=2-s2.0-13844312400&partnerID=40&md5=10d5b2ae73a6590469e6a73822037f68",15718470
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0033003335&partnerID=40&md5=59fb528960ceee977ba9680f92936e08",10212987
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0034304906&partnerID=40&md5=b5430ce1dff31a17092ced6c8926c5d6",11413485
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0026654125&partnerID=40&md5=26473835ae2b655748104577aedbe06d",1643658
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0032509302&partnerID=40&md5=b26387dc97b9719ebcaf9fe22f731c0f",9851916
"http://www.scopus.com/inward/record.url?eid=2-s2.0-32144432437&partnerID=40&md5=0b3d6f2f640c8e8e441b355f8bbf7bae",16301204
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0031743421&partnerID=40&md5=80d41c92073d3accdd7644bf0d73d2a9",9918945
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0037050004&partnerID=40&md5=612757abbbcfaa34bfc0aeaf82c6c316",11805837
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0032964481&partnerID=40&md5=ef156b9d99236cb61666c3157483b83a",10331874
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0035917313&partnerID=40&md5=791533ad934742747c5b0758d457f69c",11292862
"http://www.scopus.com/inward/record.url?eid=2-s2.0-1342294092&partnerID=40&md5=993eeb72928a9a0880d39d42c3f85940",11842121
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0030045346&partnerID=40&md5=068a8f91a68b6f9676eefb305965d3ff",8608589
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0025893168&partnerID=40&md5=7f611572b30ab0d6e11c868fb9b75fb9",1715244
"http://www.scopus.com/inward/record.url?eid=2-s2.0-2942532422&partnerID=40&md5=6e372aa6f4a52a6f324b60f174ea8c8e",15116359
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0028871804&partnerID=40&md5=c5b628a4ee316e79718bbc46dfc6cb5f",8563639
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0027291015&partnerID=40&md5=3bd96aa8df80b964c24581d05e42beae",8345525
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0035836765&partnerID=40&md5=0ed8e4617f53a24521e4ea5603363d0f",11283351
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0026691182&partnerID=40&md5=f4d1adddff584cd87bdbf93e0055898d",1633570
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0026562884&partnerID=40&md5=c9b5c9cc0f34b3e7908b375e2913bcf0",1561104
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0030056968&partnerID=40&md5=373be8f4cedcc7f673586f98965c3802",8608588
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0031586003&partnerID=40&md5=b9ff665efebc681b6937476e7042f838",9149143
"http://www.scopus.com/inward/record.url?eid=2-s2.0-0029836454&partnerID=40&md5=973f30131b8b3dde94edc9f397048287",
